sample_id,run_id,channel_id,event_time,t_seconds,value,unit,quality
T-101:P-101:0,T-101,CH-P-101,2026-09-09T12:00:00Z,0.0,102.97695,KiloPA,good
T-101:P-101:1,T-101,CH-P-101,2026-09-09T12:00:00.100000Z,0.1,103.00433,KiloPA,good
T-101:P-101:2,T-101,CH-P-101,2026-09-09T12:00:00.200000Z,0.2,103.04617,KiloPA,good
T-101:P-101:3,T-101,CH-P-101,2026-09-09T12:00:00.300000Z,0.3,103.20826,KiloPA,good
T-101:P-101:4,T-101,CH-P-101,2026-09-09T12:00:00.400000Z,0.4,103.10745,KiloPA,good
T-101:P-101:5,T-101,CH-P-101,2026-09-09T12:00:00.500000Z,0.5,102.92016,KiloPA,good
T-101:P-101:6,T-101,CH-P-101,2026-09-09T12:00:00.600000Z,0.6,103.24471,KiloPA,good
T-101:P-101:7,T-101,CH-P-101,2026-09-09T12:00:00.700000Z,0.7,103.18049,KiloPA,good
T-101:P-101:8,T-101,CH-P-101,2026-09-09T12:00:00.800000Z,0.8,103.2202,KiloPA,good
T-101:P-101:9,T-101,CH-P-101,2026-09-09T12:00:00.900000Z,0.9,103.30499,KiloPA,good
T-101:P-101:10,T-101,CH-P-101,2026-09-09T12:00:01Z,1.0,103.35504,KiloPA,good
T-101:P-101:11,T-101,CH-P-101,2026-09-09T12:00:01.100000Z,1.1,103.53534,KiloPA,good
T-101:P-101:12,T-101,CH-P-101,2026-09-09T12:00:01.200000Z,1.2,103.48539,KiloPA,good
T-101:P-101:13,T-101,CH-P-101,2026-09-09T12:00:01.300000Z,1.3,103.42901,KiloPA,good
T-101:P-101:14,T-101,CH-P-101,2026-09-09T12:00:01.400000Z,1.4,103.32404,KiloPA,good
T-101:P-101:15,T-101,CH-P-101,2026-09-09T12:00:01.500000Z,1.5,103.31049,KiloPA,good
T-101:P-101:16,T-101,CH-P-101,2026-09-09T12:00:01.600000Z,1.6,103.54272,KiloPA,good
T-101:P-101:17,T-101,CH-P-101,2026-09-09T12:00:01.700000Z,1.7,103.74335,KiloPA,good
T-101:P-101:18,T-101,CH-P-101,2026-09-09T12:00:01.800000Z,1.8,103.5703,KiloPA,good
T-101:P-101:19,T-101,CH-P-101,2026-09-09T12:00:01.900000Z,1.9,103.57646,KiloPA,good
T-101:P-101:20,T-101,CH-P-101,2026-09-09T12:00:02Z,2.0,103.70815,KiloPA,good
T-101:P-101:21,T-101,CH-P-101,2026-09-09T12:00:02.100000Z,2.1,103.41985,KiloPA,good
